,Label,Text
87,MISC,"On the other hand, if the model class is discrete, then Solomonoff's theorem  CITATION  bounds the cumulative expected square loss for the Bayes mixture predictions finitely, namely by  SYMBOL , where  SYMBOL  is the prior weight of the ``true"" model  SYMBOL
"
88,MISC,"The only necessary assumption is that the true distribution  SYMBOL  is contained in the model class, ie that we are dealing with  proper learning
"
89,MISC,"It has been demonstrated  CITATION , that for both Bayes mixture and MDL, the proper learning assumption can be essential: If it is violated, then learning may fail very badly
"
90,MISC,"For MDL predictions in the proper learning case, it has been shown  CITATION  that a bound of  SYMBOL  holds
"
91,MISC,"This bound is exponentially larger than the Solomonoff bound, and it is sharp in general
"
92,MISC,"A finite bound on the total expected square loss is particularly interesting:   It implies convergence of the predictive to the true probabilities with probability one
"
93,MISC,"In contrast, an instantaneous loss bound of  SYMBOL  implies only convergence in probability
"
94,MISC,"Additionally, it gives a  convergence speed , in the sense that errors of a certain magnitude cannot occur too often
"
95,MISC,"So for both, Bayes mixtures and MDL, convergence with probability one holds, while the convergence speed is exponentially worse for MDL compared to the Bayes mixture
"
96,MISC,"We avoid the term ``convergence rate"" here, since the order of convergence is identical in both cases
"
97,MISC,"It is eg  SYMBOL  if we additionally assume that the error is monotonically decreasing, which is not necessarily true in general)
"
98,MISC,"It is therefore natural to ask if there are model classes where the cumulative loss of MDL is comparable to that of Bayes mixture predictions
"
99,AIMX,"In the present work, we concentrate on the simplest possible stochastic case, namely discrete Bernoulli classes
"
100,OWNX,"Note that then the MDL ``predictor"" just becomes an estimator, in that it estimates the true parameter and directly uses that for prediction
"
101,OWNX,"Nevertheless, for consistency of terminology, we keep the term predictor
"
102,OWNX,"It might be surprising to discover that in general the cumulative loss is still exponential
"
103,OWNX,"On the other hand, we will give mild conditions on the prior guaranteeing a small bound
"
104,MISC,"Moreover, it is well-known that the instantaneous square loss of the Maximum Likelihood estimator decays as  SYMBOL  in the Bernoulli case
"
105,MISC,"The same holds for MDL, as we will see
"
106,MISC,"If convergence speed is measured in terms of instantaneous losses, then much more general statements are possible  CITATION , this is briefly discussed in Section  
"
107,MISC,"A particular motivation to consider discrete model classes arises in Algorithmic Information Theory
"
108,MISC,"From a computational point of view, the largest relevant model class is the class of all computable models on some fixed universal Turing machine, precisely prefix machine  CITATION
"
109,MISC,"Thus each model corresponds to a program, and there are countably many programs
"
110,MISC,"Moreover, the models are stochastic, precisely they are  semimeasures  on strings (programs need not halt, otherwise the models were even measures)
"
111,MISC,"Each model has a natural description length, namely the length of the corresponding program
"
112,MISC,"If we agree that programs are binary strings, then a prior is defined by two to the negative description length
"
113,MISC,"By the Kraft inequality, the priors sum up to at most one
"
114,MISC,"Also the Bernoulli case can be studied in the view of Algorithmic Information Theory
"
115,MISC,"We call this the  universal setup : Given a universal Turing machine, the related class of Bernoulli distributions is isomorphic to the countable set of computable reals in  SYMBOL
"
116,MISC,"The description length  SYMBOL  of a parameter  SYMBOL  is then given by the length of its shortest program
"
117,MISC,"A prior weight may then be defined by  SYMBOL
"
118,MISC,"If a string  SYMBOL  is generated by a Bernoulli distribution with computable parameter  SYMBOL , then with high probability the two-part complexity of  SYMBOL  with respect to the Bernoulli class does not exceed its algorithmic complexity by more than a constant, as shown by Vovk  CITATION
"
119,MISC,"That is, the two-part complexity with respect to the Bernoulli class  is  the shortest description, save for an additive constant
"
120,MISC,"Many Machine Learning tasks are or can be reduced to sequence prediction tasks
"
121,MISC,"An important example is classification
"
122,MISC,"The task of classifying a new instance  SYMBOL  after having seen (instance,class) pairs  SYMBOL  can be phrased as to predict the continuation of the sequence  SYMBOL
"
123,MISC,"Typically the (instance,class) pairs are iid
"
124,MISC,"Cumulative loss bounds for prediction usually generalize to prediction  conditionalized  to some inputs  CITATION
"
125,MISC,"Then we can solve classification problems in the standard form
"
126,OWNX,"It is not obvious if and how the proofs in this paper can be conditionalized
"
127,OWNX,"Our main tool for obtaining results is the Kullback-Leibler divergence
"
128,OWNX,"Lemmata for this quantity are stated in Section
"
129,OWNX,"Section  shows that the exponential error bound obtained in  CITATION  is sharp in general
"
130,OWNX,"In Section , we give an upper bound on the instantaneous and the cumulative losses
"
131,OWNX,"The latter bound is small eg under certain conditions on the distribution of the weights, this is the subject of Section
"
132,OWNX,"Section  treats the universal setup
"
133,OWNX,"Finally, in Section  we discuss the results and give conclusions"
134,OWNX,"The Minimum Description Length principle for online sequence estimation/prediction in a proper learning setup is studied
"
135,MISC,"If the underlying model class is discrete, then the total expected square loss is a particularly interesting performance measure: (a) this quantity is finitely bounded, implying convergence with probability one, and (b) it additionally specifies the convergence speed
"
136,MISC,"For MDL, in general one can only have loss bounds which are finite but exponentially larger than those for Bayes mixtures
"
137,AIMX,"We show that this is even the case if the model class contains only Bernoulli distributions
"
138,OWNX,"We derive a new upper bound on the prediction error for countable Bernoulli classes
"
139,OWNX,"This implies a small bound (comparable to the one for Bayes mixtures) for certain important model classes
"
140,OWNX,"We discuss the application to Machine Learning tasks such as classification and hypothesis testing, and generalization to countable classes of iid models
"
141,MISC,"``Bayes mixture"", ``Solomonoff induction"", ``marginalization"", all these terms refer to a central induction principle: Obtain a predictive distribution by integrating the product of prior and evidence over the model class
"
142,MISC,"In many cases however, the Bayes mixture is computationally infeasible, and even a sophisticated approximation is expensive
"
143,MISC,"The MDL or MAP (maximum a posteriori) estimator is both a common approximation for the Bayes mixture and interesting for its own sake: Use the model with the largest product of prior and evidence
"
144,MISC,"In practice, the MDL estimator is usually being approximated too, since only a local maximum is determined
"
145,MISC,"How good are the predictions by Bayes mixtures and MDL
"
146,MISC,"This question has attracted much attention
"
147,MISC,"In many cases, an important quality measure is the  total  or cumulative  expected loss  of a predictor
"
148,MISC,"In particular the square loss is often considered
"
149,MISC,"Assume that the outcome space is finite, and the model class is continuously parameterized
"
150,MISC,"Then for Bayes mixture prediction, the cumulative expected square loss is usually small but unbounded, growing with  SYMBOL , where  SYMBOL  is the sample size  CITATION
"
151,MISC,"This corresponds to an  instantaneous  loss bound of  SYMBOL
"
152,MISC,"For the MDL predictor, the losses behave similarly  CITATION  under appropriate conditions, in particular with a specific prior
"
153,MISC,"Note that in order to do MDL for continuous model classes, one needs to  discretize  the parameter space, see also  CITATION
"
154,MISC,"On the other hand, if the model class is discrete, then Solomonoff's theorem  CITATION  bounds the cumulative expected square loss for the Bayes mixture predictions finitely, namely by  SYMBOL , where  SYMBOL  is the prior weight of the ``true"" model  SYMBOL
"
155,MISC,"The only necessary assumption is that the true distribution  SYMBOL  is contained in the model class, ie that we are dealing with  proper learning
"
156,MISC,"It has been demonstrated  CITATION , that for both Bayes mixture and MDL, the proper learning assumption can be essential: If it is violated, then learning may fail very badly
"
157,MISC,"For MDL predictions in the proper learning case, it has been shown  CITATION  that a bound of  SYMBOL  holds
"
158,MISC,"This bound is exponentially larger than the Solomonoff bound, and it is sharp in general
"
159,MISC,"A finite bound on the total expected square loss is particularly interesting:   It implies convergence of the predictive to the true probabilities with probability one
"
160,MISC,"In contrast, an instantaneous loss bound of  SYMBOL  implies only convergence in probability
"
161,MISC,"Additionally, it gives a  convergence speed , in the sense that errors of a certain magnitude cannot occur too often
"
162,MISC,"So for both, Bayes mixtures and MDL, convergence with probability one holds, while the convergence speed is exponentially worse for MDL compared to the Bayes mixture
"
163,MISC,"We avoid the term ``convergence rate"" here, since the order of convergence is identical in both cases
"
164,MISC,"It is eg  SYMBOL  if we additionally assume that the error is monotonically decreasing, which is not necessarily true in general
"
165,MISC,"It is therefore natural to ask if there are model classes where the cumulative loss of MDL is comparable to that of Bayes mixture predictions
"
166,AIMX,"In the present work, we concentrate on the simplest possible stochastic case, namely discrete Bernoulli classes
"
167,OWNX,"Note that then the MDL ``predictor"" just becomes an estimator, in that it estimates the true parameter and directly uses that for prediction
"
168,OWNX,"Nevertheless, for consistency of terminology, we keep the term predictor
"
169,OWNX,"It might be surprising to discover that in general the cumulative loss is still exponential
"
170,OWNX,"On the other hand, we will give mild conditions on the prior guaranteeing a small bound
"
171,MISC,"Moreover, it is well-known that the instantaneous square loss of the Maximum Likelihood estimator decays as  SYMBOL  in the Bernoulli case
"
172,OWNX,"The same holds for MDL, as we will see
"
173,OWNX,"If convergence speed is measured in terms of instantaneous losses, then much more general statements are possible  CITATION , this is briefly discussed in Section
"
174,MISC,"A particular motivation to consider discrete model classes arises in Algorithmic Information Theory
"
175,MISC,"From a computational point of view, the largest relevant model class is the class of all computable models on some fixed universal Turing machine, precisely prefix machine  CITATION
"
176,MISC,"Thus each model corresponds to a program, and there are countably many programs
"
177,MISC,"Moreover, the models are stochastic, precisely they are  semimeasures  on strings (programs need not halt, otherwise the models were even measures)
"
178,MISC,"Each model has a natural description length, namely the length of the corresponding program
"
179,MISC,"If we agree that programs are binary strings, then a prior is defined by two to the negative description length
"
180,MISC,"By the Kraft inequality, the priors sum up to at most one
"
181,MISC,"Also the Bernoulli case can be studied in the view of Algorithmic Information Theory
"
182,MISC,"We call this the  universal setup : Given a universal Turing machine, the related class of Bernoulli distributions is isomorphic to the countable set of computable reals in  SYMBOL
"
183,MISC,"The description length  SYMBOL  of a parameter  SYMBOL  is then given by the length of its shortest program
"
184,MISC,"A prior weight may then be defined by  SYMBOL
"
185,MISC,"If a string  SYMBOL  is generated by a Bernoulli distribution with computable parameter  SYMBOL , then with high probability the two-part complexity of  SYMBOL  with respect to the Bernoulli class does not exceed its algorithmic complexity by more than a constant, as shown by Vovk  CITATION
"
186,MISC,"That is, the two-part complexity with respect to the Bernoulli class  is  the shortest description, save for an additive constant
"
187,MISC,"Many Machine Learning tasks are or can be reduced to sequence prediction tasks
"
188,MISC,"An important example is classification
"
189,MISC,"The task of classifying a new instance  SYMBOL  after having seen (instance,class) pairs  SYMBOL  can be phrased as to predict the continuation of the sequence  SYMBOL
"
190,MISC,"Typically the (instance,class) pairs are iid
"
191,MISC,"Cumulative loss bounds for prediction usually generalize to prediction  conditionalized  to some inputs  CITATION
"
192,OWNX,"Then we can solve classification problems in the standard form
"
193,OWNX,"It is not obvious if and how the proofs in this paper can be conditionalized
"
194,OWNX,"Our main tool for obtaining results is the Kullback-Leibler divergence
"
195,OWNX,"Lemmata for this quantity are stated in Section
"
196,OWNX,"Section  shows that the exponential error bound obtained in  CITATION  is sharp in general
"
197,OWNX,"In Section , we give an upper bound on the instantaneous and the cumulative losses
"
198,OWNX,"The latter bound is small eg under certain conditions on the distribution of the weights, this is the subject of Section
"
199,OWNX,"Section  treats the universal setup
"
200,OWNX,"Finally, in Section  we discuss the results and give conclusions"
201,MISC,"although the internet as level topology has been extensively studied over the past few years  little is known about the details of the as taxonomy
"
202,MISC,"an as  node  can represent a wide variety of organizations  e g   large isp  or small private business  university  with vastly different network characteristics  external connectivity patterns  network growth tendencies  and other properties that we can hardly neglect while working on veracious internet representations in simulation environments
"
203,AIMX,"in this paper  we introduce a radically new approach based on machine learning techniques to map all the ases in the internet into a natural as taxonomy
"
204,OWNX,"we successfully classify  NUMBER   NUMBER  percent  of ases with expected accuracy of  NUMBER   NUMBER  percent 
"
205,OWNX,"we release to the community the as level topology dataset augmented with   NUMBER   the as taxonomy information and  NUMBER   the set of as attributes we used to classify ases
"
206,OWNX,"we believe that this dataset will serve as an invaluable addition to further understanding of the structure and evolution of the internet
"
207,MISC,"the rapid expansion of the internet in the last two decades has produced a large scale system of thousands of diverse  independently managed networks that collectively provide global connectivity across a wide spectrum of geopolitical environments
"
208,MISC,"from  NUMBER  to  NUMBER  the number of globally routable as identifiers has increased from less than  NUMBER   NUMBER  to more than  NUMBER   NUMBER   exerting significant pressure on interdomain routing as well as other functional and structural parts of the internet
"
209,MISC,"this impressive growth has resulted in a heterogenous and highly complex system that challenges accurate and realistic modeling of the internet infrastructure
"
210,MISC,"in particular  the as level topology is an intermix of networks owned and operated by many different organizations  e g   backbone providers  regional providers  access providers  universities and private companies
"
211,MISC,"statistical information that faithfully characterizes different as types is on the critical path toward understanding the structure of the internet  as well as for modeling its topology and growth
"
212,MISC,"in topology modeling  knowledge of as types is mandatory for augmenting synthetically constructed or measured as topologies with realistic intra as and inter as router level topologies
"
213,MISC,"for example  we expect the network of a dual homed university to be drastically different from that of a dual homed small company
"
214,MISC,"the university will likely contain dozens of internal routers  thousands of hosts  and many other network elements  switches  servers  firewalls 
"
215,MISC,"on the other hand  the small company will most probably have a single router and a simple network topology
"
216,MISC,"since there is such a diversity among different network types  we cannot accurately augment the as level topology with appropriate router level topologies if we cannot MISC	characterize the composing ases
"
217,MISC,"moreover  annotating the ases in the as topology with their types is a prerequisite for modeling the evolution of the internet  since different types of ases exhibit different growth patterns
"
218,MISC,"for example  internet service providers  isp  grow by attracting new customers and by engaging in business agreements with other isps
"
219,MISC,"on the other hand  small companies that connect to the internet through one or few isps do not grow significantly over time
"
220,MISC,"thus  categorizing different types of ases in the internet is necessary to identify network evolution patterns and develop accurate evolution models
"
221,MISC,"an as taxonomy is also necessary for mapping ip addresses to different types of users
"
222,MISC,"for example  in traffic analysis studies its often required to distinguish between packets that come from home and business users
"
223,MISC,"given an as taxonomy  its possible to realize this goal by checking the type of as that originates the prefix in which an ip address lies
"
224,AIMX,"in this work  we introduce a radically new approach based on machine learning to construct a representative as taxonomy
"
225,OWNX,"we develop an algorithm to classify ases based on empirically observed differences between as characteristics
"
226,OWNX,"we use a large set of data from the internet routing registries  irr   CITATION  and from routeviews  CITATION  to identify intrinsic differences between ases of different types
"
227,AIMX,"then  we employ a novel machine learning technique to build a classification algorithm that exploits these differences to classify ases into six representative classes that reflect ases with different network properties and infrastructures
"
228,OWNX,"we derive macroscopic statistics on the different types of ases in the internet and validate our results using a sample of  NUMBER  manually identified as types
"
229,OWNX,"our validation demonstrates that our classification algorithm achieves high accuracy   NUMBER   NUMBER  percent  of the examined classifications were correct
"
230,OWNX,"finally  we make our results and our classifier publicly available to promote further research and understanding of the internet s structure and evolution
"
231,OWNX,"in section  we start with a brief discussion of related work
"
232,OWNX,"section  describes the data we used  and in section  we specify the set of as classes we use in our experiments
"
233,OWNX,"section  introduces our classification approach and results
"
234,OWNX,"we validate them in section  and conclude in section 
"
235,MISC,"although the internet as level topology has been extensively studied over the past few years  little is known about the details of the as taxonomy
"
236,MISC,"an as  node  can represent a wide variety of organizations  e g   large isp  or small private business  university  with vastly different network characteristics  external connectivity patterns  network growth tendencies  and other properties that we can hardly neglect while working on veracious internet representations in simulation environments
"
237,AIMX,"in this paper  we introduce a radically new approach based on machine learning techniques to map all the ases in the internet into a natural as taxonomy
"
238,OWNX,"we successfully classify  NUMBER   NUMBER  percent  of ases with expected accuracy of  NUMBER   NUMBER  percent 
"
239,OWNX,"we release to the community the as level topology dataset augmented with   NUMBER   the as taxonomy information and  NUMBER   the set of as attributes we used to classify ases
"
240,OWNX,"we believe that this dataset will serve as an invaluable addition to further understanding of the structure and evolution of the internet
"
241,MISC,"the rapid expansion of the internet in the last two decades has produced a large scale system of thousands of diverse  independently managed networks that collectively provide global connectivity across a wide spectrum of geopolitical environments
"
242,MISC,"from  NUMBER  to  NUMBER  the number of globally routable as identifiers has increased from less than  NUMBER   NUMBER  to more than  NUMBER   NUMBER   exerting significant pressure on interdomain routing as well as other functional and structural parts of the internet
"
243,MISC,"this impressive growth has resulted in a heterogenous and highly complex system that challenges accurate and realistic modeling of the internet infrastructure
"
244,MISC,"in particular  the as level topology is an intermix of networks owned and operated by many different organizations  e g   backbone providers  regional providers  access providers  universities and private companies
"
245,MISC,"statistical information that faithfully characterizes different as types is on the critical path toward understanding the structure of the internet  as well as for modeling its topology and growth
"
246,MISC,"in topology modeling  knowledge of as types is mandatory for augmenting synthetically constructed or measured as topologies with realistic intra as and inter as router level topologies
"
247,MISC,"for example  we expect the network of a dual homed university to be drastically different from that of a dual homed small company
"
248,MISC,"the university will likely contain dozens of internal routers  thousands of hosts  and many other network elements  switches  servers  firewalls 
"
249,MISC,"on the other hand  the small company will most probably have a single router and a simple network topology
"
250,MISC,"since there is such a diversity among different network types  we cannot accurately augment the as level topology with appropriate router level topologies if we cannot characterize the composing ases
"
251,MISC,"moreover  annotating the ases in the as topology with their types is a prerequisite for modeling the evolution of the internet  since different types of ases exhibit different growth patterns
"
252,MISC,"for example  internet service providers  isp  grow by attracting new customers and by engaging in business agreements with other isps
"
253,MISC,"on the other hand  small companies that connect to the internet through one or few isps do not grow significantly over time
"
254,MISC,"thus  categorizing different types of ases in the internet is necessary to identify network evolution patterns and develop accurate evolution models
"
255,MISC,"an as taxonomy is also necessary for mapping ip addresses to different types of users
"
256,MISC,"for example  in traffic analysis studies its often required to distinguish between packets that come from home and business users
"
257,MISC,"given an as taxonomy  its possible to realize this goal by checking the type of as that originates the prefix in which an ip address lies
"
258,AIMX,"in this work  we introduce a radically new approach based on machine learning to construct a representative as taxonomy
"
259,AIMX,"we develop an algorithm to classify ases based on empirically observed differences between as characteristics
"
260,OWNX,"we use a large set of data from the internet routing registries  irr   CITATION  and from routeviews  CITATION  to identify intrinsic differences between ases of different types
"
261,OWNX,"then  we employ a novel machine learning technique to build a classification algorithm that exploits these differences to classify ases into six representative classes that reflect ases with different network properties and infrastructures
"
262,OWNX,"we derive macroscopic statistics on the different types of ases in the internet and validate our results using a sample of  NUMBER  manually identified as types
"
263,OWNX,"our validation demonstrates that our classification algorithm achieves high accuracy   NUMBER   NUMBER  percent  of the examined classifications were correct
"
264,OWNX,"finally  we make our results and our classifier publicly available to promote further research and understanding of the internet s structure and evolution
"
265,BASE,"in section  we start with a brief discussion of related work
"
266,OWNX,"section  describes the data we used  and in section  we specify the set of as classes we use in our experiments
"
267,OWNX,"section  introduces our classification approach and results
"
268,OWNX,"we validate them in section  and conclude in section 
"
269,MISC,"Although the Internet AS-level topology has been extensively studied over the past few years, little is known about the details of the AS taxonomy
"
270,MISC,"An AS ""node"" can represent a wide variety of organizations, e g , large ISP, or small private business, university, with vastly different network characteristics, external connectivity patterns, network growth tendencies, and other properties that we can hardly neglect while working on veracious Internet representations in simulation environments
"
271,AIMX,"In this paper, we introduce a radically new approach based on machine learning techniques to map all the ASes in the Internet into a natural AS taxonomy
"
272,OWNX,"We successfully classify ~95.3\% of ASes with expected accuracy of ~78.1\%
"
273,OWNX,"We release to the community the AS-level topology dataset augmented with: 1) the AS taxonomy information and 2) the set of AS attributes we used to classify ASes
"
274,OWNX,"We believe that this dataset will serve as an invaluable addition to further understanding of the structure and evolution of the Internet
"
275,MISC,"The rapid expansion of the Internet in the last two decades has produced a large-scale system of thousands of diverse, independently managed networks that collectively provide global connectivity across a wide spectrum of geopolitical environments
"
276,MISC,"From 1997 to 2005 the number of globally routable AS identifiers has increased from less than 2,000 to more than 20,000, exerting significant pressure on interdomain routing as well as other functional and structural parts of the Internet
"
277,MISC,"This impressive growth has resulted in a heterogenous and highly complex system that challenges accurate and realistic modeling of the Internet infrastructure
"
278,MISC,"In particular, the AS-level topology is an intermix of networks owned and operated by many different organizations, e g , backbone providers, regional providers, access providers, universities and private companies
"
279,MISC,"Statistical information that faithfully characterizes different AS types is on the critical path toward understanding the structure of the Internet, as well as for modeling its topology and growth
"
280,MISC,"In topology modeling, knowledge of AS types is mandatory for augmenting synthetically constructed or measured AS topologies with realistic intra-AS and inter-AS router-level topologies
"
281,MISC,"For example, we expect the network of a dual-homed university to be drastically different from that of a dual-homed small company
"
282,MISC,"The university will likely contain dozens of internal routers, thousands of hosts, and many other network elements (switches, servers, firewalls)
"
283,MISC,"On the other hand, the small company will most probably have a single router and a simple network topology
"
284,MISC,"Since there is such a diversity among different network types, we cannot accurately augment the AS-level topology with appropriate router-level topologies if we cannot characterize the composing ASes
"
